0
1 1 0 0 -1 -1		1 1 0 0 -1 -1		1 1 0 0 -1 -1		1 1 0 0 -1 -1		1 1 0 0 -1 -1		1 1 0 0 -1 -1		1 1 0 0 -1 -1		1 1 0 0 -1 -1		1 1 0 0 -1 -1		1 1 0 0 -1 -1		1 1 0 0 -1 -1		1 1 0 0 -1 -1		1 1 0 0 -1 -1		1 1 0 0 -1 -1		1 1 0 0 -1 -1		1 1 0 0 -1 -1
1 1 0 0 -1 -1		0 0 0 0 -1 -1		0 0 0 0 -1 -1		0 0 0 0 -1 -1		0 0 0 0 -1 -1		0 0 0 0 -1 -1		0 0 0 0 -1 -1		0 0 0 0 -1 -1		0 0 0 0 -1 -1		0 0 0 0 -1 -1		0 0 0 0 -1 -1		0 0 0 0 -1 -1		0 0 0 0 -1 -1		0 0 0 0 -1 -1		0 0 0 0 -1 -1		1 1 0 0 -1 -1
1 1 0 0 -1 -1		1 1 0 0 -1 -1		1 1 0 0 -1 -1		1 1 0 0 -1 -1		0 0 0 0 -1 -1		0 0 0 0 -1 -1		0 0 0 0 -1 -1		0 0 0 0 -1 -1		0 0 0 0 -1 -1		0 0 0 0 -1 -1		0 0 0 0 -1 -1		1 0 0 1 5 43	0 0 0 0 -1 -1		0 0 0 0 -1 -1		0 0 0 0 -1 -1		1 1 0 0 -1 -1
1 1 0 0 -1 -1		1 1 0 0 -1 -1		0 0 0 0 -1 -1		1 1 0 0 -1 -1		0 0 0 0 -1 -1		0 0 0 0 -1 -1		0 0 0 0 -1 -1		0 0 0 0 -1 -1		0 0 0 0 -1 -1		0 0 0 0 -1 -1		0 0 0 0 -1 -1		0 0 0 0 -1 -1		0 0 0 0 -1 -1		0 0 0 0 -1 -1		0 0 0 0 -1 -1		1 1 0 0 -1 -1
1 1 0 0 -1 -1		1 1 0 0 -1 -1		1 1 0 0 -1 -1		1 1 0 0 -1 -1		0 0 0 0 -1 -1		0 0 0 0 -1 -1		0 0 0 0 -1 -1		0 0 0 0 -1 -1		0 0 0 0 -1 -1		0 0 0 0 -1 -1		0 0 0 0 -1 -1		0 0 0 0 -1 -1		0 0 0 0 -1 -1		0 0 0 0 -1 -1		0 0 0 0 -1 -1		1 1 0 0 -1 -1
1 1 0 0 -1 -1		0 0 0 0 -1 -1		0 0 0 0 -1 -1		0 0 0 0 -1 -1		0 0 0 0 -1 -1		0 0 0 0 -1 -1		0 0 0 0 -1 -1		0 0 0 0 -1 -1		0 0 0 0 -1 -1		0 0 0 0 -1 -1		0 0 0 0 -1 -1		0 0 0 0 -1 -1		0 0 0 0 -1 -1		0 0 0 0 -1 -1		0 0 0 0 -1 -1		1 1 0 0 -1 -1
1 1 0 0 -1 -1		0 0 0 0 -1 -1		0 0 0 0 -1 -1		0 0 0 0 -1 -1		0 0 0 0 -1 -1		0 0 0 0 -1 -1		0 0 0 0 -1 -1		0 0 0 0 -1 -1		0 0 0 0 -1 -1		0 0 0 0 -1 -1		0 0 0 0 -1 -1		0 0 0 0 -1 -1		0 0 0 0 -1 -1		0 0 0 0 -1 -1		0 0 0 0 -1 -1		1 1 0 0 -1 -1
1 1 0 0 -1 -1		0 0 0 0 -1 -1		0 0 0 0 -1 -1		0 0 0 0 -1 -1		0 0 0 0 -1 -1		0 0 0 0 -1 -1		0 0 0 0 -1 -1		0 0 0 0 -1 -1		0 0 0 0 -1 -1		0 0 0 0 -1 -1		0 0 0 0 -1 -1		0 0 0 0 -1 -1		0 0 0 0 -1 -1		0 0 0 0 -1 -1		0 0 0 0 -1 -1		1 1 0 0 -1 -1
1 1 0 0 -1 -1		1 1 0 0 -1 -1		0 0 1 0 1 2		1 1 0 0 -1 -1		1 1 0 0 -1 -1		1 1 0 0 -1 -1		1 1 0 0 -1 -1		1 1 0 0 -1 -1		1 1 0 0 -1 -1		1 1 0 0 -1 -1		1 1 0 0 -1 -1		1 1 0 0 -1 -1		1 1 0 0 -1 -1		1 1 0 0 -1 -1		1 1 0 0 -1 -1		1 1 0 0 -1 -1

